name,park_name,park_link,sq,park_lat,park_long
Останкинский,Главный ботанический сад имени Н. В. Цицина РАН,https://ru.wikipedia.org//wiki/%D0%93%D0%BB%D0%B0%D0%B2%D0%BD%D1%8B%D0%B9_%D0%B1%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%9D._%D0%92._%D0%A6%D0%B8%D1%86%D0%B8%D0%BD%D0%B0_%D0%A0%D0%90%D0%9D,361,55.8392,37.6008
Останкинский,Парк Останкино,https://ru.wikipedia.org//wiki/%D0%9E%D1%81%D1%82%D0%B0%D0%BD%D0%BA%D0%B8%D0%BD%D0%BE_(%D0%BF%D0%B0%D1%80%D0%BA),65,55.8247,37.6144
Отрадное,Парк «Отрада»,https://ru.wikipedia.org//wiki/%D0%9F%D0%B0%D1%80%D0%BA_%C2%AB%D0%9E%D1%82%D1%80%D0%B0%D0%B4%D0%B0%C2%BB,"1,2",55.8525,37.5875
Ростокино,Леоновский парк,https://ru.wikipedia.org//wiki/%D0%9B%D0%B5%D0%BE%D0%BD%D0%BE%D0%B2%D0%BE_(%D0%BF%D0%B0%D1%80%D0%BA),,55.84222,37.64083
Северный,Парк у Долгих прудов,https://ru.wikipedia.org//wiki/%D0%94%D0%BE%D0%BB%D0%B3%D0%B8%D0%B5_%D0%BF%D1%80%D1%83%D0%B4%D1%8B,"15,1",55.938466,37.541548
Лосиноостровский,Парк «Торфянка»,https://ru.wikipedia.org//wiki/%D0%A2%D0%BE%D1%80%D1%84%D1%8F%D0%BD%D0%BA%D0%B0_(%D0%BF%D0%B0%D1%80%D0%BA),"16,6",55.875,37.68444
Бибирево,Этнографическая деревня Бибирево,https://ru.wikipedia.org//wiki/%D0%AD%D1%82%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%BD%D1%8F_%D0%91%D0%B8%D0%B1%D0%B8%D1%80%D0%B5%D0%B2%D0%BE,"9,58",55.89531,37.62174
"Богородское, Гольяново, Метрогородок",Лосиный Остров,https://ru.wikipedia.org//wiki/%D0%9B%D0%BE%D1%81%D0%B8%D0%BD%D1%8B%D0%B9_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2,12000(3077 в Москве),55.85833,37.81444
Гольяново,Гольяновский парк,https://ru.wikipedia.org//wiki/%D0%93%D0%BE%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,20,55.82139,37.80639
Вешняки,Лесопарк Кусково,https://ru.wikipedia.org//wiki/%D0%9A%D1%83%D1%81%D0%BA%D0%BE%D0%B2%D0%BE_(%D0%BB%D0%B5%D1%81%D0%BE%D0%BF%D0%B0%D1%80%D0%BA),"310,6",55.75139,37.80056
Вешняки,Парк «Радуга»,https://ru.wikipedia.org//wiki/%D0%A0%D0%B0%D0%B4%D1%83%D0%B3%D0%B0_(%D0%BF%D0%B0%D1%80%D0%BA),"33,53",55.731583,37.8198361
"Восточное Измайлово, Измайлово",Измайловский парк,https://ru.wikipedia.org//wiki/%D0%98%D0%B7%D0%BC%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,1534,55.78,37.78
Ивановское,Терлецкий парк,https://ru.wikipedia.org//wiki/%D0%A2%D0%B5%D1%80%D0%BB%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,141,55.765,37.8161
